severity,constraint,path,message,focusURL,value,shape
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3d3k59mc73f1k8jg,"{'type': 'Point', 'coordinates': [-127.9697, 51.6507]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj4f3k59mc73f1pjc0,"{'type': 'Polygon', 'coordinates': [[[-128.0575, 48.4165], [-129.5135, 48.4275], [-136.9833, 47.4217], [-138.5117, 47.4], [-138.5255, 47.42], [-140.0017, 47.4133], [-141.4917, 47.4417], [-142.98, 47.43], [-143.0117, 48.395], [-144.4817, 48.4033], [-145.9817, 48.415], [-147.5017, 48.3917], [-147.525, 49.4067], [-147.5138, 50.4198], [-147.505, 50.3233], [-147.515, 51.4033], [-146.0167, 51.4233], [-145.9567, 51.3417], [-146.0067, 50.4083], [-144.4983, 50.4117], [-144.5067, 51.4983], [-143.005, 51.48], [-140.0417, 53.38], [-135.5483, 54.435], [-134.035, 54.5617], [-132.4233, 54.3883], [-134.0017, 54.4], [-134.0283, 53.4167], [-135.48, 53.4133], [-137.0283, 53.4083], [-137.0333, 52.9033], [-138.65, 52.3983], [-138.58, 51.41], [-138.5555, 50.405], [-138.52, 49.4617], [-140.0033, 49.4367], [-141.505, 49.425], [-141.4917, 48.405], [-140.0217, 48.3817], [-138.5133, 48.4183], [-138.475, 47.3817], [-138.485, 46.37], [-136.9633, 47.3967], [-135.4167, 47.4033], [-133.9817, 47.4017], [-132.5083, 47.41], [-131.0683, 48.4067], [-130.07, 48.4217], [-129.115, 48.425], [-128.02, 48.4117], [-126.2, 48.4767], [-125.4467, 48.505], [-128.0575, 48.4165]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj3fjk59mc73f1kkug,"{'type': 'Polygon', 'coordinates': [[[-63.9925202, 49.034752], [-66.8412593, 49.034752], [-66.8412593, 47.9157161], [-63.9925202, 47.9157161], [-63.9925202, 49.034752]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj3trk59mc73f1mr9g,"{'type': 'Point', 'coordinates': [-124.769333, 49.4868853]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj4jbk59mc73f1q960,"{'type': 'Polygon', 'coordinates': [[[-55.241367526148, 47.13318059533826], [-54.03287145150085, 46.75252399555157], [-53.76095983495322, 47.4795845308438], [-54.04111119745684, 47.89558933645629], [-55.241367526148, 47.13318059533826]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3drk59mc73f1kc60,"{'type': 'Polygon', 'coordinates': [[[-125.22364854812619, 50.116106505752896], [-125.22126674652097, 50.116106505752896], [-125.22126674652097, 50.11770256813347], [-125.22364854812619, 50.11770256813347], [-125.22364854812619, 50.116106505752896]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj4a3k59mc73f1oppg,"{'type': 'Polygon', 'coordinates': [[[-66.2641, 45.1391], [-66.2244, 45.1391], [-66.2244, 45.1838], [-66.2641, 45.1838], [-66.2641, 45.1391]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj4ajk59mc73f1oscg,"{'type': 'Polygon', 'coordinates': [[[-55.3782364, 52.2620456], [-79.3904256, 52.2620456], [-79.3904256, 42.8891818], [-55.3782364, 42.8891818], [-55.3782364, 52.2620456]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj47jk59mc73f1ocu0,"{'type': 'Point', 'coordinates': [-126.847847, 48.67064]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj433k59mc73f1njq0,"{'type': 'Point', 'coordinates': [-129.0823133333, 47.973705]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3kbk59mc73f1lbj0,"{'type': 'Point', 'coordinates': [-123.48645167, 48.65133]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj2nbk59mc73f1gu80,"{'type': 'Polygon', 'coordinates': [[[-123.4487, 49.007], [-123.1295, 49.007], [-123.1295, 48.6872], [-123.4487, 48.6872], [-123.4487, 49.007]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3ark59mc73f1jrv0,"{'type': 'Polygon', 'coordinates': [[[-123.49464433333333, 48.65641633333333], [-123.47432933333333, 48.65641633333333], [-123.47432933333333, 48.650631], [-123.49464433333333, 48.650631], [-123.49464433333333, 48.65641633333333]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3ljk59mc73f1lhjg,"{'type': 'Polygon', 'coordinates': [[[-55.4959679, 51.8989759], [-71.219554, 51.8989759], [-71.219554, 46.3725807], [-55.4959679, 46.3725807], [-55.4959679, 51.8989759]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj313k59mc73f1ici0,"{'type': 'Polygon', 'coordinates': [[[-128.513667, 48.311], [-143.000167, 56.668667], [-147.503333, 56.667333], [-147.500667, 47.668333], [-136.997, 47.666833], [-129.9175, 48.191167], [-128.513667, 48.311]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj31rk59mc73f1iftg,"{'type': 'Point', 'coordinates': [-123.4863533333, 48.6513133333]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3ajk59mc73f1jqt0,"{'type': 'Point', 'coordinates': [-126.1743, 48.427373]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj4cbk59mc73f1p420,"{'type': 'Point', 'coordinates': [-123.0385166667, 48.7659333333]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj37rk59mc73f1jd60,"{'type': 'Point', 'coordinates': [-126.0582216667, 48.3148816667]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj3ibk59mc73f1l1hg,"{'type': 'Point', 'coordinates': [-123.48647179, 48.65140676]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3nbk59mc73f1ls3g,"{'type': 'Polygon', 'coordinates': [[[-60.8734899, 47.9806584], [-62.4610937, 47.9806584], [-62.4610937, 46.9241249], [-60.8734899, 46.9241249], [-60.8734899, 47.9806584]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj3ark59mc73f1jr8g,"{'type': 'Point', 'coordinates': [-129.08254, 47.973617]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj34bk59mc73f1iqq0,"{'type': 'Polygon', 'coordinates': [[[-150.14476634, 59.68961051], [-148.42177964, 59.68961051], [-148.42177964, 60.2984757], [-150.14476634, 60.2984757], [-150.14476634, 59.68961051]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj2ork59mc73f1h5cg,"{'type': 'Polygon', 'coordinates': [[[-128.513667, 48.311], [-143.000167, 56.668667], [-147.503333, 56.667333], [-147.500667, 47.668333], [-136.997, 47.666833], [-129.9175, 48.191167], [-128.513667, 48.311]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj4ejk59mc73f1pgp0,"{'type': 'Polygon', 'coordinates': [[[-70.93, 47.33], [-70.25, 46.85], [-68.55, 48.2], [-67.02, 48.82], [-66.12, 49.04], [-64.97, 48.97], [-64.69, 48.74], [-65.13, 48.34], [-66.82, 48.15], [-67.06, 47.83], [-66.01, 47.37], [-64.78, 46.41], [-64.43, 45.65], [-62.62, 45.21], [-61.31, 45.15], [-60.03, 45.18], [-59.46, 45.74], [-59.5, 46.59], [-59.42, 47.46], [-58.27, 48.49], [-57.62, 49.42], [-56.78, 50.63], [-56.25, 51.16], [-55.99, 50.69], [-55.24, 50.6], [-54.89, 51.1], [-54.89, 51.57], [-55.02, 52.3], [-55.24, 52.86], [-56.78, 52.01], [-58.76, 51.49], [-59.94, 50.8], [-61.39, 50.44], [-63.2, 50.52], [-65.04, 50.6], [-66.75, 50.32], [-68.16, 49.67], [-69.57, 48.75], [-70.58, 47.91], [-70.93, 47.33]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj3i3k59mc73f1kvmg,"{'type': 'Point', 'coordinates': [-123.4863883333, 48.65132]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj31jk59mc73f1ieeg,"{'type': 'Polygon', 'coordinates': [[[-73.050081, 45.908316], [-74.0712032, 45.908316], [-74.0712032, 45.2624861], [-73.050081, 45.2624861], [-73.050081, 45.908316]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj4ark59mc73f1oslg,"{'type': 'Polygon', 'coordinates': [[[-128.98931373, 50.8340959], [-127.03580726, 50.8340959], [-127.03580726, 52.33530479], [-128.98931373, 52.33530479], [-128.98931373, 50.8340959]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3i3k59mc73f1l0ag,"{'type': 'Point', 'coordinates': [-55.35221, 47.61463]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj42rk59mc73f1nigg,"{'type': 'Polygon', 'coordinates': [[[-71.01561, 45.57044], [-55.8672, 45.57044], [-55.8672, 51.97679], [-71.01561, 51.97679], [-71.01561, 45.57044]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj46jk59mc73f1o700,"{'type': 'Polygon', 'coordinates': [[[-72.202002, 46.114083], [-73.137536, 46.114083], [-73.137536, 45.090157], [-72.202002, 45.090157], [-72.202002, 46.114083]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj493k59mc73f1okvg,"{'type': 'Point', 'coordinates': [-123.4874766667, 48.6508416667]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3vrk59mc73f1n3m0,"{'type': 'Point', 'coordinates': [-126.174076666, 48.427712833]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj433k59mc73f1nkt0,"{'type': 'Polygon', 'coordinates': [[[-60.8734899, 47.9806584], [-62.4610937, 47.9806584], [-62.4610937, 46.9241249], [-60.8734899, 46.9241249], [-60.8734899, 47.9806584]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3qrk59mc73f1mch0,"{'type': 'Point', 'coordinates': [-105.06082, 69.1137]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3g3k59mc73f1kmt0,"{'type': 'Polygon', 'coordinates': [[[-68.75671, 48.90168], [-68.78537, 48.90168], [-68.78537, 48.88933], [-68.75671, 48.88933], [-68.75671, 48.90168]]]}",geoPolygon
