level=info msg="Queuing URLs for africaioc"
level=info msg="URL Count 255"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=5"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=7"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=77"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=92"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=125"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=108"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=78"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=93"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=9"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=94"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=134"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=79"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=126"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=95"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=80"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=96"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=10"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=62"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=11"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=146"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=31"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=124"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=33"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=82"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=77"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=125"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=78"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=126"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=79"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=127"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=80"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=129"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=81"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=76"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=145"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=63"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=57"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=97"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=56"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=84"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=64"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=127"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=58"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=98"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=66"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=240"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=188"
